x,y
87.44633739,94.41401894
7.838148646,99.92789843
76.12706518,55.89788343
86.70937177,91.32006994
94.49674181,46.30049019
47.40828888,73.75619649
35.20410881,91.56750432
80.68909917,98.410031
20.40105046,64.77224902
41.1331821,55.41910766
60.19796402,80.92467188
91.93925699,48.66546098
43.06773525,19.86151929
84.70942434,64.36460521
71.65316915,66.95401952
9.527123145,58.93274995
80.05435503,48.55417254
78.48393858,2.218650773
67.73516593,73.59080217
78.79292631,52.32866399
9.636766334,40.79758349
75.59147873,77.55787807
2.303316964,32.38385136
3.208702871,23.02518021
61.27412298,34.1128923
71.22748554,93.01064953
42.66879738,83.28746256
49.06200049,77.3827643
35.31986779,39.04194781
78.15675005,49.78687253
66.64590479,43.34835492
59.01321684,50.6628551
78.89692561,96.80143513
71.04968793,31.87008382
47.92315102,8.147121251
43.01829577,18.60589
44.53564859,52.76377252
87.90129694,66.08733413
51.90520855,29.65736805
93.40028741,54.56997833
50.82077609,94.77416513
15.15622481,5.066547136
90.44578326,38.59849175
49.63705577,47.81742928
21.3931656,96.92896273
45.98153904,59.76266841
58.25033635,79.74677399
96.50132902,50.70573301
53.25248825,76.41770285
40.39015346,93.5272332
56.26484963,93.21310664
99.19875855,35.66670301
28.67764684,10.2462315
2.733295955,14.59170902
20.20349954,13.83057066
35.53404986,39.06065416
2.594144399,26.392697
33.65172413,54.01993855
64.03587762,85.51418209
41.82155997,3.977214422
63.86110562,83.86378024
31.46391703,26.04767159
36.12264425,35.39647704
49.63071118,18.84086528
39.46645955,26.35595603
98.78120069,33.26042981
52.16436027,80.54675854
12.16589147,34.85482141
38.53313603,56.24314757
47.54274146,13.06269755
39.22534197,78.84441803
56.56272312,65.43975086
61.73038882,93.37073244
75.30858244,7.933678184
72.07843003,79.35034697
27.02919001,2.062518182
94.25385784,11.64844847
0.488237852,30.17750284
15.9452896,14.1288418
25.87445884,98.22658198
66.28992519,14.61361712
37.59127098,80.69176857
99.95501221,92.29245213
89.13441494,97.75047517
75.15271509,67.60054954
78.58286445,49.42220736
94.79102297,17.87688534
47.50455249,8.79077585
39.07577534,74.16443981
33.33442413,38.23590627
51.64225315,47.08213048
5.366429449,72.42524265
16.9171909,17.59797048
58.31780055,8.042494036
85.80423907,42.7514654
30.38620264,26.89394058
66.71749534,42.89149899
76.73308646,23.38301087
27.74309071,56.29865286
33.8969298,37.51472855
60.87728702,47.76130615
34.51097073,38.85833948
43.16645348,32.90002266
83.45491722,84.09987395
53.36392057,24.40099137
42.53278532,6.060529692
81.74294005,91.40194043
73.80537312,95.31208612
74.61559675,55.91861524
98.01926515,81.27873626
63.66986589,0.016884206
49.55435763,25.58201507
58.27872299,13.62677472
7.742364176,88.27654438
5.805976552,44.64574145
42.94422462,62.20976701
25.14885553,83.92572709
28.50255036,61.28875394
21.13253897,96.20251343
89.37730919,52.76989756
6.558672481,9.892274201
89.59172926,14.54893391
5.985398072,44.45504906
46.55600116,71.82684142
7.623029057,92.83242356
17.72302411,63.25390516
89.82439672,87.75147226
21.23673231,13.38369092
48.89490183,73.7345293
54.05515635,38.64596439
26.64572664,80.74519485
14.65876004,63.69199262
27.42647394,74.43155459
2.150432643,90.26289749
90.32886043,60.92118497
7.351000823,64.01473302
87.67776128,62.45824176
24.18737411,52.68267745
46.46599158,75.79383326
38.81566742,22.09166415
18.27842134,31.62995605
26.04502999,69.0813031
25.56184186,9.74027171
2.285350836,81.89493084
70.96415969,70.44523025
96.0749749,98.94215196
59.28907282,40.61673913
1.645487521,93.45428774
80.67785202,12.93507024
58.19072992,78.29056898
