x,y
87.44633739,94.41401894
7.838148646,99.92789843
76.12706518,55.89788343
86.70937177,91.32006994
94.49674181,46.30049019
47.40828888,73.75619649
35.20410881,91.56750432
80.68909917,98.410031
20.40105046,64.77224902
41.1331821,55.41910766
60.19796402,80.92467188
91.93925699,48.66546098
43.06773525,19.86151929
84.70942434,64.36460521
71.65316915,66.95401952
9.527123145,58.93274995
80.05435503,48.55417254
78.48393858,2.218650773
67.73516593,73.59080217
78.79292631,52.32866399
9.636766334,40.79758349
75.59147873,77.55787807
2.303316964,32.38385136
3.208702871,23.02518021
61.27412298,34.1128923
71.22748554,93.01064953
42.66879738,83.28746256
49.06200049,77.3827643
35.31986779,39.04194781
78.15675005,49.78687253
66.64590479,43.34835492
59.01321684,50.6628551
78.89692561,96.80143513
71.04968793,31.87008382
47.92315102,8.147121251
43.01829577,18.60589
44.53564859,52.76377252
87.90129694,66.08733413
51.90520855,29.65736805
93.40028741,54.56997833
50.82077609,94.77416513
15.15622481,5.066547136
90.44578326,38.59849175
49.63705577,47.81742928
21.3931656,96.92896273
45.98153904,59.76266841
58.25033635,79.74677399
96.50132902,50.70573301
53.25248825,76.41770285
40.39015346,93.5272332
