x,y
87.44633739,94.41401894
7.838148646,99.92789843
76.12706518,55.89788343
86.70937177,91.32006994
94.49674181,46.30049019
47.40828888,73.75619649
35.20410881,91.56750432
80.68909917,98.410031
20.40105046,64.77224902
41.1331821,55.41910766
60.19796402,80.92467188
91.93925699,48.66546098
43.06773525,19.86151929
84.70942434,64.36460521
71.65316915,66.95401952
9.527123145,58.93274995
80.05435503,48.55417254
78.48393858,2.218650773
67.73516593,73.59080217
78.79292631,52.32866399
9.636766334,40.79758349
75.59147873,77.55787807
2.303316964,32.38385136
3.208702871,23.02518021
61.27412298,34.1128923
