child,gift,weight
0,7,90.43218258477704
0,11,93.12344700185109
0,16,59.37447270703906
0,17,60.56228276408269
0,19,89.29455819201146
0,29,40.72095271389299
0,41,97.14783132643755
0,46,79.60146183611391
0,48,51.885121662507295
0,51,14.778346238506867
0,61,90.78783497058444
0,63,78.19419976475326
0,64,97.51542187764284
0,70,77.01117532815742
0,72,20.072906228507026
0,77,90.99109389977056
0,85,21.560678920734798
0,87,45.01033007576759
1,1,86.22257128363272
1,8,35.116233411858445
1,11,83.20909001340208
1,12,65.98215291771753
1,22,13.049620362902992
1,29,45.485943319107456
1,35,82.71541113228388
1,37,14.998941165863112
1,40,41.76684588167203
1,46,5.0471339339308585
1,50,22.780534699966815
1,53,60.28435394258585
1,54,49.89661886748566
1,56,50.41581919087817
1,61,61.26976270592579
1,67,83.10652939059476
1,70,62.72240273156516
1,72,86.92191634669022
1,81,16.28481338409078
1,82,45.558324146678764
1,87,30.059652079891876
1,89,92.70476232341892
1,90,45.665767244697165
1,93,30.2081956488345
1,97,3.3829214748407055
2,3,58.11013819246498
2,10,76.9405952121453
2,15,11.519487932990192
2,16,66.94279221358231
2,24,9.96175279631416
2,25,19.68087096736958
2,26,47.31138619443256
2,27,9.840297698387879
2,29,45.324505824913366
2,30,31.38867715337945
2,40,79.24836163220951
2,47,41.53861547314174
2,51,21.371328883003514
2,59,93.93780840695301
2,61,66.21962835200964
2,62,84.59719462045794
2,63,74.12735033242656
2,66,14.34986992719498
2,68,85.93665070145427
2,69,65.02785109705651
2,72,5.488651106837605
2,73,5.787967057098076
2,74,16.11048761001117
2,76,13.043546222405865
2,77,8.58559615714336
2,78,2.541086372913237
2,81,86.36982624230014
2,84,54.305111037517584
2,85,15.520588190412454
2,86,72.29439341817017
2,93,66.90449676011289
2,99,69.87423139980243
3,5,30.632659262823637
3,10,46.27921918866432
3,14,90.96630129310878
3,16,43.87711563619886
3,19,2.8032158969147125
3,26,20.795579403927878
3,27,91.43733921289686
3,29,98.88519921719869
3,30,8.259844495496015
3,31,59.76441902472599
3,37,52.274242149727925
3,52,38.92678078726725
3,62,23.4959422555726
3,63,84.43294527645963
3,65,92.43919383163924
3,72,71.75532819719838
3,73,41.738388241503166
3,81,13.976151428374772
3,92,5.628317165738695
3,93,61.729160344968506
4,4,30.006460979290452
4,6,16.025342214689296
4,11,85.0470382117934
4,17,19.67705139528435
4,35,23.393096542141166
4,42,97.04085532751921
4,44,37.29464283048408
4,49,3.5136590452481964
4,53,1.3992352894322768
4,54,98.96548652505788
4,55,77.97483354814955
4,56,73.62036365069915
4,59,58.58848753907208
4,60,29.796038372901933
4,63,79.11767243707318
4,66,7.468447420757396
4,73,49.693661632306565
4,76,69.08325843787945
4,77,91.03038325880627
4,80,35.09806767729915
4,88,97.51679257499009
4,93,94.93012083773345
5,5,12.489629653018476
5,10,75.07758650212708
5,16,29.9796011674741
5,17,91.67183816690533
5,19,65.8277772238214
5,31,87.85141696014654
5,32,39.79948725913721
5,35,72.49954846546616
5,39,1.5068965967085624
5,40,12.01667209839643
5,41,97.17332326594719
5,45,15.238927588218498
5,53,19.275187787782045
5,54,47.35931456219572
5,55,71.29787293989526
5,63,87.76275481876554
5,68,51.285930561790515
5,71,63.225986697201066
5,81,63.8053871221568
5,82,56.776226328151466
5,93,18.85896016084224
5,95,93.0884770688538
5,97,58.81669287830141
5,98,52.92297079402989
6,2,94.94575945003997
6,3,13.771414046597851
6,14,69.24754775429484
6,15,96.31830998059671
6,19,62.7665325003441
6,21,20.699982542806527
6,24,24.29054106070707
6,30,99.03262534189953
6,35,72.53453759862369
6,42,52.28860945384319
6,47,59.85327682526959
6,56,28.45859104238022
6,57,70.15838681256945
6,58,18.759750907750405
6,60,46.78663572961279
6,62,44.33469802425798
6,65,61.85988671067104
6,69,33.88219538074585
6,72,19.56625653834211
6,78,39.25296182482986
6,79,52.33410401853724
6,81,0.537996816947417
6,84,57.31215837472132
6,86,88.70626411663628
6,89,83.47121051744611
6,90,65.78357336122555
6,92,32.37488611362974
7,7,33.67331739685196
7,10,91.52312649458655
7,12,46.47132236719882
7,16,83.43566074734964
7,23,76.38983363811847
7,24,52.03353517748648
7,27,40.00444897870262
7,29,87.23694513304696
7,30,97.12372282111758
7,32,99.13521324591157
7,34,70.02046151161501
7,35,93.95556847644667
7,37,74.88902893121573
7,38,97.02470230708812
7,39,48.67556645795853
7,40,66.75605412125827
7,49,72.4736874020185
7,52,66.60509335009453
7,54,9.821750186249023
7,58,52.71574988000607
7,64,20.19917169688269
7,72,23.176111386908293
7,79,81.2563271147549
7,81,26.42498958648253
7,90,55.42553124857893
7,95,86.65607640405399
7,97,19.16018948780962
7,98,5.914732061546946
8,2,61.369803220889466
8,10,91.41883522742194
8,13,20.048044698436453
8,18,44.275515633282204
8,22,88.82336692082602
8,29,86.67694855115055
8,30,98.71169369888095
8,46,74.8967622214134
8,47,38.3648291441556
8,48,35.08434741792945
8,49,33.89537330753792
8,50,39.08251218552019
8,53,51.31527790224351
8,58,17.06200487408819
8,59,7.019073256490893
8,61,51.3527826844008
8,64,39.921771308251294
8,65,84.40622005979287
8,68,10.480043645184335
8,70,68.97551487045945
8,75,36.596703035164204
8,77,93.9044294305522
8,81,74.60228957352606
8,82,14.26449752022213
8,89,59.38565336463947
8,91,30.598577949274674
8,93,39.84273854620365
8,95,82.87295164542229
9,3,24.684579087043524
9,4,71.87250407101637
9,5,36.37240301752688
9,6,19.34355812838341
9,8,65.13251063210585
9,9,43.99178586029365
9,13,89.78898584960264
9,19,70.48586611864293
9,24,2.4650254149493067
9,26,11.178997983951945
9,28,7.760553544689186
9,31,22.04222941207866
9,33,61.86876513178478
9,35,43.645386878345974
9,36,87.39410389754202
9,62,88.98429093213552
9,66,19.836399668836467
9,78,57.515176145893435
9,83,1.6826598215374022
9,87,53.95637781144361
9,97,81.63741879274565
10,0,40.10722966214326
10,1,6.583158590779137
10,14,75.39232441293684
10,16,65.80507047425927
10,19,38.67712527257713
10,25,79.638951653999
10,35,29.317019115689646
10,40,59.61738525406669
10,41,43.26041918901118
10,42,19.570768158346674
10,43,89.30611967836136
10,47,53.40116941076245
10,51,96.33269068998214
10,53,25.07410409118197
10,55,78.1600242379595
10,56,39.365853749741554
10,61,5.003430565442235
10,66,90.5270421482687
10,69,74.46008558367011
10,72,26.861543733448336
10,73,5.5466161489577726
10,74,81.08720976848699
10,78,55.5762871762186
10,80,51.13571603388031
10,81,35.76815678749292
10,83,1.0727718646983964
10,84,19.088754931406037
10,86,34.226548637550636
10,89,18.75849697296188
11,1,10.133527048492708
11,3,49.979713208728406
11,18,32.95823907974832
11,26,27.045712712043557
11,29,41.719190034636576
11,31,53.850751669913045
11,38,44.06480962278475
11,39,66.10467825234011
11,46,28.76293342604025
11,50,15.066341150340534
11,52,72.76124836058312
11,53,53.88868741871
11,54,84.1012267071137
11,58,15.244244413482688
11,59,5.904763533545953
11,69,58.19918541559864
11,71,13.315184910790368
11,72,71.21805043018996
11,73,47.39887264242506
11,75,70.94600397702426
11,77,44.791544481018555
12,1,8.81999282071143
12,4,21.859182006011668
12,7,12.971141180977607
12,8,58.38555131047409
12,10,64.48537063384583
12,22,23.448694713509923
12,27,23.08533746252769
12,28,81.95158839165984
12,31,90.98666640680669
12,33,80.22090008167623
12,43,31.091516822101674
12,44,20.628751171232317
12,46,47.06674987705471
12,47,43.0794463981899
12,48,75.42095834467507
12,51,12.081327121116114
12,54,82.02687768994
12,63,35.622414802858906
12,64,42.9926604397041
12,67,48.45335369975102
12,72,6.511598207722235
12,78,35.45567753154473
12,79,70.44006310915523
12,83,53.44834770173333
12,86,6.076553882521829
12,97,38.22884729106377
13,3,18.76978484515761
13,6,3.721164619011119
13,10,90.06265909665807
13,13,21.491036243605954
13,15,4.280612324502798
13,17,84.3472671392381
13,20,44.110689346756395
13,22,91.83519072095298
13,31,89.85333191821393
13,37,85.82121331853556
13,38,20.067887160658906
13,46,84.79223642965428
13,53,35.304103573760905
13,62,18.460807888031106
13,69,49.86424276475256
13,73,58.87227873038238
13,74,30.861571470540383
13,77,45.09787211309515
13,78,59.11634268040075
13,86,79.83575957849635
13,92,17.53737161344755
14,0,56.218499008469635
14,2,57.87052282952687
14,5,87.2710599654758
14,9,40.5647145378477
14,15,88.79375134497239
14,25,0.6757800491823174
14,29,37.58692711729768
14,41,22.223535028438235
14,45,94.35386013860983
14,46,8.895563145251128
14,50,61.77322445589953
14,54,93.52503620989212
14,55,46.42826879179677
14,56,77.98239028929304
14,62,23.353989438841648
14,63,45.53360631964812
14,64,66.67946105657933
14,67,85.25355881046589
14,70,3.390995462336155
14,72,26.828724384919756
14,80,46.76020031608734
14,82,90.2773052756335
14,83,70.00216421159664
14,87,5.63873696851267
14,97,20.251955825857813
14,98,14.96417653288914
15,2,78.50947387910402
15,7,56.94432125995436
15,12,60.37829903354246
15,23,72.56652554698717
15,29,25.945671721330577
15,30,30.909745613841256
15,33,89.37883859319126
15,36,26.40354519067156
15,37,67.90233620948885
15,41,36.912668974435704
15,43,66.9999153329003
15,45,98.89858491895897
15,46,21.621677017210118
15,52,67.90741465662369
15,55,12.130353367668778
15,58,39.59396892042621
15,60,67.56309904544679
15,65,69.38614118541092
15,71,57.957791618100565
15,73,89.92849361491608
15,76,29.437116796964503
15,84,93.57383705473742
15,87,80.84367976346431
15,89,56.372686947839526
15,99,59.03091448159101
16,1,21.448676745855956
16,7,79.71174862949266
16,8,27.567367607317593
16,9,69.09521437378953
16,12,31.022861756886368
16,13,91.42905592303138
16,15,54.33583777880552
16,18,43.27819664709804
16,29,11.29056287348199
16,33,1.6970370923788836
16,34,4.265524778605412
16,35,31.135779831204324
16,36,95.81402514941648
16,37,89.47458693543354
16,43,46.6776759257227
16,53,58.42100216466436
16,54,50.419900770542945
16,55,77.19193708656059
16,59,88.62501922422732
16,62,24.217039081783355
16,78,90.30645903243568
16,80,4.259929865436951
16,90,47.22638465237716
16,92,46.80057086484475
16,97,80.94221443795333
17,9,94.24652398594108
17,12,63.89422915784112
17,13,73.25108935998456
17,19,71.94966363570654
17,25,39.44249713391247
17,31,4.562218148517561
17,34,94.15098587368273
17,36,70.6259884423553
17,39,90.22671437308365
17,41,69.63227523153581
17,42,52.786014054587426
17,45,11.064820906605865
17,56,16.138927071927256
17,65,76.48390183626933
17,72,80.57739968854712
17,77,71.46503616043339
17,80,15.355756573236533
17,84,11.997073207828334
17,86,80.82369703237102
17,88,67.22612257621411
17,89,36.17483707182208
17,90,95.95173526853785
18,0,12.381545735492416
18,2,31.47484268565498
18,6,4.845983287317857
18,8,61.07083708392642
18,12,33.50516639613941
18,19,52.76225677843532
18,21,87.02225138895898
18,31,7.299956611391378
18,34,60.19264799751344
18,36,9.130598040940496
18,39,23.087464098233358
18,40,99.1341837814183
18,48,24.04767358384121
18,51,42.14549465668669
18,56,55.51697777314523
18,67,9.504062583482064
18,77,48.419002979628054
18,78,23.01000482685297
18,84,96.71982745589463
18,86,67.25566599273299
18,87,37.5477102193193
18,88,70.48679468850453
18,89,57.869350983698745
18,90,83.70929950260746
18,91,70.48538710410425
18,98,89.28242462288831
19,4,13.461593879928891
19,5,91.96538971135391
19,8,89.41833096182073
19,11,44.9320559855488
19,12,37.4706253488104
19,14,21.019287467733584
19,30,69.59567076606619
19,35,8.148994513616314
19,43,74.6507304577943
19,45,6.073619708576428
19,46,68.01684706282964
19,48,71.27973559703177
19,52,1.330404385518813
19,60,39.236896344048866
19,63,1.5143895594345813
19,70,46.95232226007815
19,71,20.908869113223695
19,72,27.328903064660427
19,74,31.96133723808319
19,75,51.751572297757285
19,76,35.97863851159367
19,82,30.820626940414144
19,88,32.00475506578191
19,93,38.41772167855082
19,98,71.78349067998555
20,0,34.97944066231985
20,4,32.9174614373165
20,5,85.04225614958277
20,6,48.95741724299789
20,16,98.16034059648379
20,25,73.3862184825411
20,29,34.56032488272693
20,33,45.89755829143507
20,34,4.623782172099622
20,38,20.133536032013144
20,44,43.777875256195784
20,48,8.62898095955764
20,53,31.49623441544659
20,63,35.621805066217824
20,64,77.46041964140014
20,68,65.08216795162515
20,69,76.32406842522737
20,72,58.020898656427875
20,74,43.84107350971698
20,77,76.77136115696813
20,80,78.84075618357043
20,90,65.91350177746409
20,91,85.90270899189578
20,95,14.00586723662187
21,0,85.6753121495949
21,3,74.19355901661056
21,5,86.23202648895659
21,11,22.81008835877968
21,12,83.07961399363329
21,16,30.70391446290638
21,24,52.826732859588596
21,29,67.8715058573425
21,34,1.2961572529839205
21,45,93.38116409172125
21,48,29.88801560576405
21,53,74.31778775376789
21,59,88.49326427216594
21,73,82.95715825332253
21,86,71.117934349219
21,89,68.02235558483551
21,90,13.739999392548851
21,95,7.1302477991621815
22,15,64.83307013751796
22,18,93.31313947120387
22,19,17.194930236446194
22,22,68.93495763254936
22,24,63.2367441641351
22,25,18.748552888744598
22,27,89.19666323147878
22,28,96.05186525911294
22,36,42.667605852527416
22,46,82.70053605784878
22,47,57.48465040273898
22,49,1.3697437679191293
22,51,64.56834021383958
22,55,13.357297995993811
22,59,71.02273613610262
22,64,10.670096523373363
22,67,62.42134635666303
22,71,59.62946227011731
22,73,36.82305962219854
22,74,6.1948182916233385
22,75,48.976205270821424
22,80,7.567878596767475
22,83,92.40920952022198
22,85,20.837474259954693
22,90,52.520583016456655
22,94,60.27140266456078
22,98,94.99766205957879
23,4,91.09395722440544
23,6,13.257718307077083
23,9,67.02010747490398
23,12,99.65449581743536
23,17,34.637182374510765
23,20,61.816782792978344
23,25,89.69614268987353
23,27,39.412002120789325
23,30,92.6089851095056
23,34,22.32572152792117
23,42,68.55931520333712
23,54,63.58924325591693
23,55,64.5310053400571
23,59,18.58555686462744
23,64,6.603992389279867
23,66,3.2792181193191716
23,67,23.181150267509764
23,68,83.95135136497413
23,77,12.676970816020983
23,82,77.5159082058546
23,84,14.430486578719293
23,88,1.3465371294555717
23,89,79.20355768950593
23,93,59.68729816648867
23,96,42.0960217636013
24,0,44.10830925707566
24,7,13.740756817666123
24,8,9.429954490552339
24,16,11.520487753391572
24,18,91.3119909432829
24,20,7.3318797292659665
24,23,71.43667455866957
24,27,86.2271428632185
24,47,45.22528805315941
24,48,73.02237336491348
24,56,26.839714174386142
24,72,94.73347088106046
24,82,53.304782817422726
24,84,10.563285160429048
24,87,62.82543473795822
24,88,55.67512540516078
24,89,47.845681291519135
24,92,62.75998695664916
24,94,77.43905535286405
24,95,87.51143365471337
24,99,25.00368718391719
25,0,12.711783994680436
25,10,10.856934929205542
25,11,18.591525958354882
25,23,21.863813274226164
25,27,84.9729248686171
25,28,35.848211119236005
25,37,80.34813863894827
25,49,34.36231205582663
25,50,36.89169047837228
25,60,82.05798155299136
25,62,85.7589011651171
