pais1,pais2
1,11
1,12
1,16
1,17
1,18
1,30
1,40
1,47
2,3
2,37
2,42
2,44
2,45
2,47
3,8
3,10
3,12
3,13
3,15
3,17
3,19
3,25
3,26
3,28
3,36
3,37
3,42
3,44
4,5
4,28
4,36
4,39
4,47
4,49
5,10
5,14
5,21
5,28
5,29
5,33
5,45
5,47
6,9
6,12
6,17
6,20
6,21
6,22
6,27
6,29
6,30
6,32
6,38
6,44
6,48
7,9
7,10
7,12
7,18
7,21
7,24
7,25
7,30
7,31
7,35
7,38
7,41
7,44
7,45
8,12
8,16
8,19
8,34
8,35
8,41
8,46
9,13
9,14
9,22
9,30
9,33
9,35
9,41
9,45
9,47
9,48
10,18
10,19
10,21
10,29
10,33
10,35
10,42
10,45
10,49
11,12
11,13
11,14
11,24
11,29
11,31
11,34
11,35
11,40
11,45
11,46
11,47
12,17
12,18
12,20
12,24
12,28
12,34
12,38
12,39
12,44
12,47
12,49
13,19
13,23
13,34
13,38
13,41
13,46
13,48
14,16
14,24
14,30
14,31
14,35
14,41
14,42
14,43
14,46
14,48
15,20
15,33
15,34
15,39
15,41
15,48
16,22
16,25
16,28
16,33
16,44
16,46
17,20
17,24
17,27
17,29
17,32
17,33
17,35
17,36
17,40
17,42
17,43
17,44
17,45
17,46
18,19
18,27
18,35
18,45
18,46
19,21
19,22
19,23
19,25
19,26
19,29
19,30
19,37
19,43
19,47
19,49
20,21
20,25
20,26
20,27
20,28
20,34
20,36
20,41
21,22
21,24
21,25
21,28
21,29
21,46
22,23
22,25
22,26
22,27
22,49
23,26
23,38
23,45
24,26
24,32
24,42
24,45
24,47
24,48
25,33
25,36
25,42
25,44
25,45
25,49
26,27
26,29
26,31
26,33
26,38
26,43
26,47
26,49
27,30
27,34
27,38
27,39
27,42
27,44
28,33
28,34
28,36
28,40
28,47
29,30
29,33
29,34
29,37
29,38
29,42
29,43
29,44
30,31
30,33
30,34
30,40
30,47
30,49
31,32
31,38
31,39
31,43
32,34
32,36
32,39
32,40
32,44
32,48
33,34
33,45
34,35
34,38
34,46
35,40
35,43
36,39
36,43
36,45
36,47
37,38
37,44
37,46
38,43
38,45
38,49
39,45
39,46
39,47
40,43
40,49
41,42
43,44
43,47
43,49
46,47

